"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"22","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","16","0","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/22","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person25"
"3","","SCS1","Director of Human Resources","Responsible for the leadership of the HR and corporate facilities and estates functions, ensuring efficient and effective day-to-day services that have the capacity and capability to support business change. Senior Responsible Owner responsible for the delivery of Land Registry's Accelerated Transformation Programme.","Ministry of Justice","Land Registry","HR Directorate","0300 0067 524","david.evans@landregistry.gsi.gov.uk","1","6732312","1","N/D","N/D","","Human Resources","","","http://reference.data.gov.uk/id/public-body/land-registry/post/3","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person5"
"15","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","N/D","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/15","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person18"
"4","Alasdair Lewis","SCS2","Director of Legal Services","Principal legal adviser responsible for the provision of legal services within Land Registry, including the management and development of the Agency's team of lawyers, and responsible for the legal framework for land registration and for the integrity of the register.","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","1","2259260","1","90000","94999","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/4","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person6"
"10","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","476045","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/10","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person13"
"24","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","N/D","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/24","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person27"
"18","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","N/D","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/18","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person21"
"25","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","","","4","0","","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/land-registry/post/25","",""
"11","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","724383","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/11","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person14"
"7","Katie Gordon-Smith","SCS1","Commercial and Customer Strategy Director","Responsible for leading the Commercial and Customer Directorate in the development and implementation of customer experience and contact strategies, marketing, sales, product and service development, customer services, stakeholder engagement and International unit.","Ministry of Justice","Land Registry","Commercial and Customer Directorate","0300 0067 313","lucy.mason@landregistry.gsi.gov.uk","1","2911257","1","75000.00","79999","","Operational Research","","","http://reference.data.gov.uk/id/public-body/land-registry/post/7","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person10"
"5","John Peaden","SCS2","Director of Operations","Responsible for the delivery of operational Key Performance Indicators and for key decisions regarding operational strategy, performance and for work practices and procedures in 17 local offices and the central operations group.","Ministry of Justice","Land Registry","Operations Directorate","0300 0067 481","jason.bowers@landregistry.gsi.gov.uk","1","104380919","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/land-registry/post/5","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person7"
"13","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","N/D","0.76","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/13","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person16"
"20","","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Ministry of Justice","Land Registry","Legal Services Group","0300 0067 380","sally.acott@landregistry.gsi.gov.uk","4","393767","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/20","/data/landregistry/2011-03-31/Land-Registry-Organogram-31.03.2011.xls","person23"
